#   1H-bar  PAMELA(2006/07-2009/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.800000e-01 1.249092e-01 4.402977e-01 7.670000e-03 1.900000e-03 2.750000e-03 0.000000e+00 0.000000e+00 1.900000e-03 2.750000e-03
5.600000e-01 4.402977e-01 6.975624e-01 1.043000e-02 3.860000e-03 3.860000e-03 0.000000e+00 0.000000e+00 3.860000e-03 3.860000e-03
8.100000e-01 6.975624e-01 9.424870e-01 1.679000e-02 3.920000e-03 3.920000e-03 0.000000e+00 0.000000e+00 3.920000e-03 3.920000e-03
1.070000e+00 9.424870e-01 1.207714e+00 2.023000e-02 4.000000e-03 4.000000e-03 0.000000e+00 0.000000e+00 4.000000e-03 4.000000e-03
1.340000e+00 1.207714e+00 1.481078e+00 2.278000e-02 4.060000e-03 4.060000e-03 0.000000e+00 0.000000e+00 4.060000e-03 4.060000e-03
1.630000e+00 1.481078e+00 1.807043e+00 2.165000e-02 2.560000e-03 2.560000e-03 0.000000e+00 0.000000e+00 2.560000e-03 2.560000e-03
2.030000e+00 1.807043e+00 2.195488e+00 2.575000e-02 2.330000e-03 2.330000e-03 0.000000e+00 0.000000e+00 2.330000e-03 2.330000e-03
2.420000e+00 2.195488e+00 2.637040e+00 2.144000e-02 1.830000e-03 1.830000e-03 0.000000e+00 0.000000e+00 1.830000e-03 1.830000e-03
2.900000e+00 2.637040e+00 3.160564e+00 2.005000e-02 1.760000e-03 1.760000e-03 0.000000e+00 0.000000e+00 1.760000e-03 1.760000e-03
3.470000e+00 3.160564e+00 3.776042e+00 1.646000e-02 1.340000e-03 1.340000e-03 0.000000e+00 0.000000e+00 1.340000e-03 1.340000e-03
4.140000e+00 3.776042e+00 4.503231e+00 1.526000e-02 1.130000e-03 1.130000e-03 0.000000e+00 0.000000e+00 1.130000e-03 1.130000e-03
4.930000e+00 4.503231e+00 5.361986e+00 1.179000e-02 7.700000e-04 7.700000e-04 0.000000e+00 0.000000e+00 7.700000e-04 7.700000e-04
5.900000e+00 5.361986e+00 6.421779e+00 9.470000e-03 5.900000e-04 5.900000e-04 0.000000e+00 0.000000e+00 5.900000e-04 5.900000e-04
7.000000e+00 6.421779e+00 7.613357e+00 6.920000e-03 4.500000e-04 4.500000e-04 0.000000e+00 0.000000e+00 4.500000e-04 4.500000e-04
8.400000e+00 7.613357e+00 9.205216e+00 5.180000e-03 4.000000e-04 4.000000e-04 0.000000e+00 0.000000e+00 4.000000e-04 4.000000e-04
1.010000e+01 9.205216e+00 1.109835e+01 3.760000e-03 2.600000e-04 2.600000e-04 0.000000e+00 0.000000e+00 2.600000e-04 2.600000e-04
1.230000e+01 1.109835e+01 1.369185e+01 2.250000e-03 1.800000e-04 1.800000e-04 0.000000e+00 0.000000e+00 1.800000e-04 1.800000e-04
1.530000e+01 1.369185e+01 1.718603e+01 1.360000e-03 1.300000e-04 1.300000e-04 0.000000e+00 0.000000e+00 1.300000e-04 1.300000e-04
1.960000e+01 1.718603e+01 2.238061e+01 7.270000e-04 7.000000e-05 7.000000e-05 0.000000e+00 0.000000e+00 7.000000e-05 7.000000e-05
2.620000e+01 2.238061e+01 3.077561e+01 3.380000e-04 2.900000e-05 2.900000e-05 0.000000e+00 0.000000e+00 2.900000e-05 2.900000e-05
3.800000e+01 3.077561e+01 4.757080e+01 1.220000e-04 1.600000e-05 1.600000e-05 0.000000e+00 0.000000e+00 1.600000e-05 1.600000e-05
6.740000e+01 4.757080e+01 9.906613e+01 2.500000e-05 5.000000e-06 5.000000e-06 0.000000e+00 0.000000e+00 5.000000e-06 5.000000e-06
1.289000e+02 9.906613e+01 1.790642e+02 4.500000e-06 1.900000e-06 3.700000e-06 0.000000e+00 0.000000e+00 1.900000e-06 3.700000e-06
