#   1H-bar/1H  PAMELA(2006/07-2009/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
2.800000e-01 1.249092e-01 4.402977e-01 4.500000e-06 1.200000e-06 1.600000e-06 0.000000e+00 0.000000e+00 1.200000e-06 1.600000e-06
5.600000e-01 4.402977e-01 6.975624e-01 6.600000e-06 1.300000e-06 1.300000e-06 0.000000e+00 0.000000e+00 1.300000e-06 1.300000e-06
8.100000e-01 6.975624e-01 9.424870e-01 1.290000e-05 2.200000e-06 2.200000e-06 0.000000e+00 0.000000e+00 2.200000e-06 2.200000e-06
1.070000e+00 9.424870e-01 1.207714e+00 1.960000e-05 2.600000e-06 2.600000e-06 0.000000e+00 0.000000e+00 2.600000e-06 2.600000e-06
1.340000e+00 1.207714e+00 1.481078e+00 2.800000e-05 3.200000e-06 3.200000e-06 0.000000e+00 0.000000e+00 3.200000e-06 3.200000e-06
1.630000e+00 1.481078e+00 1.807043e+00 3.320000e-05 3.300000e-06 3.300000e-06 0.000000e+00 0.000000e+00 3.300000e-06 3.300000e-06
2.030000e+00 1.807043e+00 2.195488e+00 5.450000e-05 4.400000e-06 4.400000e-06 0.000000e+00 0.000000e+00 4.400000e-06 4.400000e-06
2.420000e+00 2.195488e+00 2.637040e+00 5.930000e-05 4.500000e-06 4.500000e-06 0.000000e+00 0.000000e+00 4.500000e-06 4.500000e-06
2.900000e+00 2.637040e+00 3.160564e+00 7.500000e-05 5.500000e-06 5.500000e-06 0.000000e+00 0.000000e+00 5.500000e-06 5.500000e-06
3.470000e+00 3.160564e+00 3.776042e+00 8.480000e-05 6.000000e-06 6.000000e-06 0.000000e+00 0.000000e+00 6.000000e-06 6.000000e-06
4.140000e+00 3.776042e+00 4.503231e+00 1.090000e-04 7.000000e-06 7.000000e-06 0.000000e+00 0.000000e+00 7.000000e-06 7.000000e-06
4.930000e+00 4.503231e+00 5.361986e+00 1.200000e-04 8.000000e-06 8.000000e-06 0.000000e+00 0.000000e+00 8.000000e-06 8.000000e-06
5.900000e+00 5.361986e+00 6.421779e+00 1.410000e-04 1.000000e-05 1.000000e-05 0.000000e+00 0.000000e+00 1.000000e-05 1.000000e-05
7.000000e+00 6.421779e+00 7.613357e+00 1.490000e-04 1.100000e-05 1.100000e-05 0.000000e+00 0.000000e+00 1.100000e-05 1.100000e-05
8.400000e+00 7.613357e+00 9.205216e+00 1.690000e-04 1.200000e-05 1.200000e-05 0.000000e+00 0.000000e+00 1.200000e-05 1.200000e-05
1.010000e+01 9.205216e+00 1.109835e+01 1.880000e-04 1.400000e-05 1.400000e-05 0.000000e+00 0.000000e+00 1.400000e-05 1.400000e-05
1.230000e+01 1.109835e+01 1.369185e+01 1.820000e-04 1.400000e-05 1.400000e-05 0.000000e+00 0.000000e+00 1.400000e-05 1.400000e-05
1.530000e+01 1.369185e+01 1.718603e+01 1.880000e-04 1.500000e-05 1.500000e-05 0.000000e+00 0.000000e+00 1.500000e-05 1.500000e-05
1.960000e+01 1.718603e+01 2.238061e+01 1.870000e-04 1.700000e-05 1.700000e-05 0.000000e+00 0.000000e+00 1.700000e-05 1.700000e-05
2.620000e+01 2.238061e+01 3.077561e+01 1.840000e-04 2.000000e-05 2.000000e-05 0.000000e+00 0.000000e+00 2.000000e-05 2.000000e-05
3.800000e+01 3.077561e+01 4.757080e+01 1.750000e-04 1.900000e-05 1.900000e-05 0.000000e+00 0.000000e+00 1.900000e-05 1.900000e-05
6.740000e+01 4.757080e+01 9.906613e+01 1.670000e-04 2.500000e-05 2.500000e-05 0.000000e+00 0.000000e+00 2.500000e-05 2.500000e-05
1.289000e+02 9.906613e+01 1.790642e+02 1.610000e-04 7.700000e-05 7.700000e-05 0.000000e+00 0.000000e+00 7.700000e-05 7.700000e-05
