#Rmin	Rmax	Flux	stat	trig	acc.	unf.	scale	syst.	10^x	R	E	Flux_true	err_tot
108	116	3.294	0.007	0.005	0.033	0.028	0.018	0.047	-2	111.9285486	111.932479	0.03294	0.000475184
116	125	2.698	0.006	0.004	0.027	0.023	0.016	0.039	-2	120.4159458	120.4195991	0.02698	0.000394588
125	135	2.174	0.005	0.004	0.022	0.019	0.013	0.032	-2	129.9038106	129.907197	0.02174	0.000323883
135	147	1.727	0.004	0.003	0.018	0.016	0.011	0.026	-2	140.8722826	140.8754054	0.01727	0.000263059
147	160	1.358	0.003	0.003	0.014	0.013	0.009	0.021	-2	153.3623161	153.3651846	0.01358	0.000212132
160	175	1.065	0.003	0.002	0.011	0.01	0.007	0.017	-2	167.3320053	167.3346343	0.01065	0.000172627
175	192	8.212	0.023	0.017	0.087	0.079	0.059	0.133	-3	183.3030278	183.3054278	0.008212	0.000134974
192	211	6.299	0.019	0.014	0.068	0.062	0.047	0.104	-3	201.27593	201.2781157	0.006299	0.000105721
211	233	4.793	0.015	0.011	0.053	0.049	0.039	0.083	-3	221.72731	221.7292941	0.004793	8.43445E-05
233	259	3.605	0.012	0.009	0.04	0.039	0.031	0.065	-3	245.6562639	245.6580547	0.003605	6.60984E-05
259	291	2.647	0.009	0.007	0.03	0.029	0.024	0.049	-3	274.5341509	274.5357533	0.002647	4.98197E-05
291	330	1.884	0.007	0.006	0.022	0.022	0.019	0.037	-3	309.8870762	309.8884958	0.001884	3.76563E-05
330	379	1.288	0.005	0.004	0.016	0.016	0.015	0.027	-3	353.6523717	353.6536156	0.001288	2.74591E-05
379	441	8.695	0.038	0.034	0.11	0.112	0.111	0.195	-4	408.826369	408.8274451	0.0008695	1.98668E-05
441	525	5.545	0.026	0.025	0.073	0.078	0.078	0.135	-4	481.170448	481.1713622	0.0005545	1.37481E-05
525	643	3.357	0.017	0.018	0.047	0.052	0.057	0.092	-4	581.0120481	581.0128052	0.0003357	9.35575E-06
643	822	1.86	0.01	0.012	0.028	0.032	0.04	0.06	-4	727.0116918	727.0122969	0.000186	6.08276E-06
822	1130	8.571	0.053	0.071	0.139	0.192	0.254	0.355	-5	963.7738324	963.7742888	0.00008571	3.58935E-06
1130	1800	2.933	0.021	0.035	0.055	0.092	0.13	0.173	-5	1426.183719	1426.184027	0.00002933	1.7427E-06
