1.e-9	0	0	0	0	0	0	2.795560281268711e-10	0	0	0	0	0	0	0	1.9145371839247744e-13	7.745187255732293e-19	0	1.0953011360042354e-17	1.0953011360042354e-17	1.0953011360042354e-17	0	0	0
1.0715193052376092e-9	0	0	0	0	0	0	4.750358757851803e-10	0	0	0	0	0	0	0	3.0115390314111625e-13	1.3170676297329893e-18	0	1.8624316399335977e-17	1.8624316399335977e-17	1.8624316399335977e-17	0	0	0
1.148153621496884e-9	0	0	0	0	0	0	8.072052131909906e-10	0	0	0	0	0	0	0	4.737106917464122e-13	2.239671016354735e-18	0	3.1668474535500933e-17	3.1668474535500933e-17	3.1668474535500933e-17	0	0	0
1.2302687708123811e-9	0	0	0	0	0	0	1.3716443102866179e-9	0	0	0	0	0	0	0	7.45140000293237e-13	3.8085563324616404e-18	0	5.3848541761322573e-17	5.3848541761322573e-17	5.3848541761322573e-17	0	0	0
1.31825673855641e-9	0	0	0	0	0	0	2.3320538143607943e-9	0	0	0	0	0	0	0	1.2404321890227503e-12	6.476448432038126e-18	0	9.156756808617719e-17	9.156756808617719e-17	9.156756808617719e-17	0	0	0
1.4125375446227555e-9	0	0	0	0	0	0	3.964930960810048e-9	0	0	0	0	0	0	0	2.064943520624527e-12	1.1013197818643177e-17	0	1.5570745745316507e-16	1.5570745745316507e-16	1.5570745745316507e-16	0	0	0
1.5135612484362133e-9	0	0	0	0	0	0	6.7420124237777905e-9	0	0	0	0	0	0	0	3.489608660361259e-12	1.872794308164886e-17	0	2.647789215042301e-16	2.647789215042301e-16	2.647789215042301e-16	0	0	0
1.6218100973589331e-9	0	0	0	0	0	0	1.1464192434031111e-8	0	0	0	0	0	0	0	5.897192093072498e-12	3.184686753521797e-17	0	4.502538184083515e-16	4.502538184083515e-16	4.502538184083515e-16	0	0	0
1.7378008287493762e-9	0	0	0	0	0	0	1.9494558411248854e-8	0	0	0	0	0	0	0	1.0009511017355383e-11	5.41556030176742e-17	0	7.656552818438879e-16	7.656552818438879e-16	7.656552818438879e-16	0	0	0
1.8620871366628732e-9	0	0	0	0	0	0	3.3149985037015116e-8	0	0	0	0	0	0	0	1.6989494190676463e-11	9.209161104980357e-17	0	1.3019945343001278e-15	1.3019945343001278e-15	1.3019945343001278e-15	0	0	0
1.9952623149688828e-9	0	0	0	0	0	0	5.6371293553640375e-8	0	0	0	0	0	0	0	2.8874470657509453e-11	1.5660180207135696e-16	0	2.2140407301920997e-15	2.2140407301920997e-15	2.2140407301920997e-15	0	0	0
2.1379620895022324e-9	0	0	0	0	0	0	9.585894935887892e-8	0	0	0	0	0	0	0	4.907356548666022e-11	2.6630139414907946e-16	0	3.764974603049872e-15	3.764974603049872e-15	3.764974603049872e-15	0	0	0
2.2908676527677795e-9	0	0	0	0	0	0	1.403102679550372e-7	0	0	0	0	0	0	0	8.343555000970529e-11	4.528455745023544e-16	0	6.402339007692904e-15	6.402339007692904e-15	6.402339007692904e-15	0	0	0
2.4547089156850337e-9	0	0	0	0	0	0	2.0537436958451143e-7	0	0	0	0	0	0	0	1.418582680183272e-10	7.700639908462291e-16	0	1.0887176964279866e-14	1.0887176964279866e-14	1.0887176964279866e-14	0	0	0
2.6302679918953816e-9	0	0	0	0	0	0	1.7434524054910916e-7	0	0	0	0	0	0	0	2.412177759886406e-10	1.3094939746566577e-15	0	1.8513645737376117e-14	1.8513645737376117e-14	1.8513645737376117e-14	0	0	0
2.818382931264461e-9	0	0	0	0	0	0	1.4800416898964506e-7	0	0	0	0	0	0	0	4.1017006809492746e-10	2.2267947729612765e-15	0	3.1482456803414116e-14	3.1482456803414116e-14	3.1482456803414116e-14	0	0	0
3.019951720402019e-9	0	0	0	0	0	0	1.8193108508015267e-7	0	0	0	0	0	0	0	6.974836283291865e-10	3.786664971381474e-15	0	5.3535923489465044e-14	5.3535923489465044e-14	5.3535923489465044e-14	0	0	0
3.2359365692962944e-9	0	0	0	0	0	0	2.2363504990699467e-7	0	0	0	0	0	0	0	1.18605293176754e-9	6.439224565998118e-15	0	9.103784757863113e-14	9.103784757863113e-14	9.103784757863113e-14	0	0	0
3.4673685045253237e-9	0	0	0	0	0	0	3.516775856261003e-7	0	0	0	0	0	0	0	2.01687397424269e-9	1.0949902706664974e-14	0	1.5480987793846315e-13	1.5480987793846315e-13	1.5480987793846315e-13	0	0	0
3.715352290971728e-9	0	0	0	0	0	0	5.530310400057364e-7	0	0	0	0	0	0	0	3.4296788271626783e-9	1.8620311818064345e-14	0	2.632542282661164e-13	2.632542282661164e-13	2.632542282661164e-13	0	0	0
3.9810717055349855e-9	0	0	0	0	0	0	9.277229277896263e-7	0	0	0	0	0	0	0	5.832161471650738e-9	3.1663844100740576e-14	0	4.4766386904347937e-13	4.4766386904347937e-13	4.4766386904347937e-13	0	0	0
4.265795188015934e-9	0	0	0	0	0	0	1.5562776200367265e-6	0	0	0	0	0	0	0	9.917578043174071e-9	5.3844373447245096e-14	0	7.612525009261952e-13	7.612525009261952e-13	7.612525009261952e-13	0	0	0
4.570881896148752e-9	0	0	0	0	0	0	2.6406599066838533e-6	0	0	0	0	0	0	0	1.686483647480833e-8	9.1562368193616e-14	0	1.2945100348818358e-12	1.2945100348818358e-12	1.2945100348818358e-12	0	0	0
4.8977881936844766e-9	0	0	0	0	0	0	4.480617502295469e-6	0	0	0	0	0	0	0	2.8678645943983618e-8	1.557018260679926e-13	0	2.201314581391672e-12	2.201314581391672e-12	2.201314581391672e-12	0	0	0
